Descriptions,Ids,step
"wathc out as Fanatics drop green Vex pools that cause Negation debuff.",VOGGuide,5
"Use cleansing well (warlock ult0 to remove Negation before ritual wipe.",VOGGuide,6
"the Oracle phase: oracles spawn in a sequence and must be shot in exact order.",VOGGuide,7
"Callouts include R3, R2, R1, Mid, L1, L2, L3. ( right 1 -> 3 and left 1 -> 3",VOGGuide,8
"Use long-range weapons like Linears or Xenophage for one-shot oracle kills.",VOGGuide,9
"next is the Templar boss: a relic holder blocks projectiles, cleanses, and supers the boss to kill them easily",VOGGuide,10
"Players can block teleport spots to extend boss DPS phases.",VOGGuide,11
"Detain bubbles must be separated from teammates to avoid wiping the team.",VOGGuide,12
"Secret path near Templar leads to optional chest.",VOGGuide,13
"Gorgon maze: avoid detection by crouch walking and following safe path routes.",VOGGuide,14
"Three vex cubes must be shot for secret chest.",VOGGuide,15
"Gatekeeper encounter: relic holder kills shielded Minotaurs across portals.",VOGGuide,16
"Operator debuff prevents immediate portal re-entry, requiring relic swaps.",VOGGuide,17
"Final Atheon encounter: teleport players must call oracle order for the team.",VOGGuide,18
"Relic cleanses darkness when inside portal to maintain visibility.",VOGGuide,19
"After clearing three oracle rounds, the team performs high-damage DPS.",VOGGuide,20
"Wells and Thundercrashes are ideal for burst damage on Atheon.",VOGGuide,21
"Kill Atheon to conclude the raid and unlock the Spoils chest.",VOGGuide,22

"The Garden of Salvation raid takes place in the Black Garden and uses tethers aswell as motes of light/dark and sync mechanics.",Gardenoverview,1
"First encounter uses tethering from box nodes to players to open doors.",GardenGuide,1
"Teams split into groups managing boss and advancing rooms.",GardenGuide,2
"Voltaic Overflow buff rotates between players to avoid deaths.",GardenGuide,3
"Angelic enemies must be defeated to activate tether nodes.",GardenGuide,4
"Final door requires connecting three symbols using full team tether chains.",GardenGuide,5
"Boss becomes vulnerable only after shooting glowing facial symbols.",GardenGuide,6
"Damage phase requires forming tethers from confluxes to stun the boss.",GardenGuide,7
"Portals open when players shoot specific boss limbs.",GardenGuide,8
"Players collect motes on islands to deposit into red or blue confluxes.",GardenGuide,9
"Fully charged confluxes allow damage phase to begin.",GardenGuide,10
"Managing Cyclops snipers is critical to survival.",GardenGuide,11
"Stun and damage cycle repeats until the boss is defeated.",GardenGuide,12

"Deep Stone Crypt is a Europa raid featuring three major augments: which are roles the players must do the Operator aswell as the Scanner and the Suppressor.",Cryptoverview,1
"Desolation: ride sparrows bubble-to-bubble to avoid frostbite death.",CryptGuide,1
"Use storm shelters to reset frostbite stacks.",CryptGuide,2
"Final bubble guarded by two Brigs must be cleared.",CryptGuide,3
"Security encounter: learn 10 basement panels across light and dark.",CryptGuide,4
"Scanner identifies glowing panels, Operator shoots them.",CryptGuide,5
"Second phase involves damaging fuses in correct order.",CryptGuide,6
"Atraks-1: split into space and ground teams.",CryptGuide,7
"Scanner identifies the correct glowing Atraks clone for DPS.",CryptGuide,8
"Operator shoots panels to send players between ground and space.",CryptGuide,9
"Dissent encounter: collect nuclear cores and dunk into correct bins.",CryptGuide,10
"Suppressor stuns Taniks from three designated drone positions.",CryptGuide,11
"Prevent third core from spawning by shooting active panel.",CryptGuide,12
"Taniks final encounter begins by shooting trash pile to start event.",CryptGuide,13
"Glow engines on Taniks must be shot to drop cores.",CryptGuide,14
"Players must avoid electric hazards during final stand.",CryptGuide,15
"Kill Taniks to complete the raid.",CryptGuide,16
